2100,F005921800010000000000450481008010,raw,F005921800010000000000450481008010,Configuration group data list
2101,02000601030300000000000000000000000004040106000000,raw,02000601030300000000000000000000000004040106000000,Configuration group data values
2200,000000,raw,000000,Configuration group data values
2300,0000000000000000000000000000000000002980000000000000000000000000000000000000000000000000,raw,0000000000000000000000000000000000002980000000000000000000000000000000000000000000000000,Configuration group data values
F080,9831576980003C98315761800C103733FF01FFFFFFFF,raw,9831576980003C98315761800C103733FF01FFFFFFFF,ZA Zone
F0FE,Request out of range,cmd answer,7F2231,ZI Zone
F18B,1A0A14,string_date,1A0A14,Production Date
F18C,0001B933,string_ascii,0001B933,Serial Number
F190,Request out of range,cmd answer,7F2231,VIN
